date,review,cleaned_review
il y a 2 ans,"Achat et consommation sur place.
Port du masque et gestes barrières personnel/clients respecté.
Service rapide... équipe au top 😇 …",achat et consommation sur place port du masque et gestes barrieres personnelclients respecte service rapide equipe au top
il y a 3 mois,Le temps d'attente y est beaucoup trop long et cela quel que soit l'heure ou la quantité de personnes présentes. Dommage.,le temps dattente y est beaucoup trop long et cela quel que soit lheure ou la quantite de personnes presentes dommage
il y a une semaine,Une blague ce restaurant je demande du produit pour me laver les mains 30min après trois personnes enfin j’ai du savon et quand je redemande on me dit prend du gel service déplorable,une blague ce restaurant je demande du produit pour me laver les mains min apres trois personnes enfin jai du savon et quand je redemande on me dit prend du gel service deplorable
il y a un mois,"Très belle vue et bonne ambiance, service rapide et efficace.",tres belle vue et bonne ambiance service rapide et efficace
il y a 5 mois,"Hyper déçue !!! Je n’avais jamais été chez Burger King, quelle fut ma découverte lorsque j’ai croqué mon hamburger ! Sec au possible, aucune sauce, 4 cornichons et deux steaks surcuits. J’ai dû demander des sauces pour les ajouter au …",hyper decue je navais jamais ete chez burger king quelle fut ma decouverte lorsque jai croque mon hamburger sec au possible aucune sauce cornichons et deux steaks surcuits jai du demander des sauces pour les ajouter au
il y a 3 mois,"Tata Mag est formidable, nous a très bien reçu.
Merci pour son accueil chaleureux
Mille merci à elle.",tata mag est formidable nous a tres bien recu merci pour son accueil chaleureux mille merci a elle
il y a 2 jours,"Tres belle esperence
Merci Tata Mag",tres belle esperence merci tata mag
il y a un an,"Burger King tres sale !!!
Au premier étage tout le plafond est vétuste.
Le menu une fois servie je découvre mon sandwich poisson qui ressemble a rien.
Ils ont pas le temps ici pour travailler !!!!!!!!!",burger king tres sale au premier etage tout le plafond est vetuste le menu une fois servie je decouvre mon sandwich poisson qui ressemble a rien ils ont pas le temps ici pour travailler
il y a 2 mois,Super bk le meilleur de Marseille. J’aime beaucoup Tata mag le service est agréable,super bk le meilleur de marseille jaime beaucoup tata mag le service est agreable
il y a 2 mois,Merci a mag de nous avoir bien accueilli avec un repas incroyable,merci a mag de nous avoir bien accueilli avec un repas incroyable
il y a 4 mois,"La nourriture très bonne. Le service médiocre, Maya très gentille et serviable, tandis que la serveuse à la caisse m'a donné de l'argent déchiré et a tout nié en nous insultant.",la nourriture tres bonne le service mediocre maya tres gentille et serviable tandis que la serveuse a la caisse ma donne de largent dechire et a tout nie en nous insultant
il y a 2 semaines,Ses très bon. Mes ses parfois très long pour quand nous serve.,ses tres bon mes ses parfois tres long pour quand nous serve
il y a 3 semaines,"Excellent accueil par la jeune maguema, top je recommande ce restaurant",excellent accueil par la jeune maguema top je recommande ce restaurant
il y a 3 semaines,"Sympa et commande rapidement exécutée.
Accueil très sympa à minuit !",sympa et commande rapidement executee accueil tres sympa a minuit
il y a un mois,"Parfait, très bien reçu par tâta mag, une femme exceptionnelle",parfait tres bien recu par tata mag une femme exceptionnelle
il y a un mois,Maguema : je suis touristes parisien et j'ai visité Marseille au passage je suis venue dans votre burger king et j'ai vraiment apprécié ça restera de très beaux souvenirs,maguema je suis touristes parisien et jai visite marseille au passage je suis venue dans votre burger king et jai vraiment apprecie ca restera de tres beaux souvenirs
il y a 2 mois,"Super accueil de la part de Maguema
L’équipe est au top , le service est rapide.
Et vue imprenable sur le vieux-port .",super accueil de la part de maguema lequipe est au top le service est rapide et vue imprenable sur le vieuxport
il y a 2 semaines,Mag très gentille ! Très bon service et dans la bonne humeur !!,mag tres gentille tres bon service et dans la bonne humeur
il y a un mois,"Un bon accueil des relations client présentes et de qualité, des personnes engagées pour un bon repas. Un bon moment passé avec silence.",un bon accueil des relations client presentes et de qualite des personnes engagees pour un bon repas un bon moment passe avec silence
il y a un mois,"Maguema, a un super bon vivre et m’est l’ambiance dans le restaurant ! ✨💗
Je reviendrais 💗 …",maguema a un super bon vivre et mest lambiance dans le restaurant je reviendrais
il y a 4 semaines,"Ça faisait des années que je n'étais pas allé dans BK, ce qui est dommage c'est que les commandes se font que par les machines.",ca faisait des annees que je netais pas alle dans bk ce qui est dommage cest que les commandes se font que par les machines
il y a 3 semaines,Depuis la création de ce Burger King je ne peux plus manger Halal car avant il y avait Quick qui était bien meilleur.,depuis la creation de ce burger king je ne peux plus manger halal car avant il y avait quick qui etait bien meilleur
il y a 3 mois,"Approche client très sympathique….
Le tout sur une terrasse ensoleillée….
Le personnel est au top !!!",approche client tres sympathique le tout sur une terrasse ensoleillee le personnel est au top
il y a 5 jours,Tata mag la plus gentille de tous les bk <3,tata mag la plus gentille de tous les bk
il y a un mois,"Super accueil de la part de Mag, très solaire et souriante, un énorme merci 🫶🏼 …",super accueil de la part de mag tres solaire et souriante un enorme merci
il y a 3 mois,Super expérience avec Mag qui est super sympa en tout cas très bon et bien sûr bonne a petit,super experience avec mag qui est super sympa en tout cas tres bon et bien sur bonne a petit
il y a 5 mois,"Supers puzzles, offert par tata Mag, super gentille !",supers puzzles offert par tata mag super gentille
il y a 3 semaines,merci maguema pour l’accueil ! au top le service super rapide!,merci maguema pour laccueil au top le service super rapide
il y a 2 ans,"Un BK classique avec une vue sur le vieux port depuis l'étage.
C'est relativement propre ( des tables sales à l'étage )
La climatisation allait trop fort à l'étage, obligé de repasser un pull pour …",un bk classique avec une vue sur le vieux port depuis letage cest relativement propre des tables sales a letage la climatisation allait trop fort a letage oblige de repasser un pull pour
il y a 4 semaines,"Maguema Nous a bien reçu
Bon service
Rien à dire",maguema nous a bien recu bon service rien a dire
il y a un mois,"Super accueil, très sympathique joviale de la part de Maguema",super accueil tres sympathique joviale de la part de maguema
il y a 2 semaines,"Mon expérience a été décevante. Le service était médiocre et le personnel manquait de professionnalisme. À plusieurs reprises, j'ai été servi par une petite et mince jeune fille noire peu soucieuse, qui m'a servi un sandwich froid sans la …",mon experience a ete decevante le service etait mediocre et le personnel manquait de professionnalisme a plusieurs reprises jai ete servi par une petite et mince jeune fille noire peu soucieuse qui ma servi un sandwich froid sans la
il y a 3 mois,La meilleur des tata la tata Mag !!! Au Top le service est super elle nous trouves les meilleurs places possible,la meilleur des tata la tata mag au top le service est super elle nous trouves les meilleurs places possible
il y a 2 mois,J’ai été accueilli par Tata Mag et elle nous a très bien Accueilli. Au top,jai ete accueilli par tata mag et elle nous a tres bien accueilli au top
il y a 2 mois,"Très bon service rien a dire
Endroit très bien tenue
Vraiment parfait",tres bon service rien a dire endroit tres bien tenue vraiment parfait
il y a 3 semaines,Tata mag incroyable accueil et burger incroyable et aussi julien gray super service,tata mag incroyable accueil et burger incroyable et aussi julien gray super service
il y a 2 mois,"Maguema est une personne très agréable, très accueillante et toujours le sourire. Tpujoirs de bon conseil .",maguema est une personne tres agreable tres accueillante et toujours le sourire tpujoirs de bon conseil
il y a un mois,Tata Mag très accueillante et souriante. Je repasserai à coup sûr.,tata mag tres accueillante et souriante je repasserai a coup sur
il y a 5 mois,Tata Mag m’a servi comme un roi et elle m’a aussi mis dans une ambiance agréable. C’est une femme incroyable !,tata mag ma servi comme un roi et elle ma aussi mis dans une ambiance agreable cest une femme incroyable
il y a 5 mois,Trop bien ! Bonus : le nettoyage de ma boisson renversée a été réalisé de manière exceptionnelle par Tata Mag !,trop bien bonus le nettoyage de ma boisson renversee a ete realise de maniere exceptionnelle par tata mag
il y a 5 mois,"Tata mague est vraiment super
Très accueillante et souriante, si on a soucis  elle nous aide au plus vite il devrai y avoir plus d’employés comme ça",tata mague est vraiment super tres accueillante et souriante si on a soucis elle nous aide au plus vite il devrai y avoir plus demployes comme ca
il y a 3 mois,Service rapide mais intérieur vieillissant méritant un petit rafraîchissement. Possibilité de manger à l'étage avec vue sur le vieux port.,service rapide mais interieur vieillissant meritant un petit rafraichissement possibilite de manger a letage avec vue sur le vieux port
il y a 3 mois,J’ai constaté qu’il y avait un cafard dans les locaux. J’ai avertie le manager qui avait l’air indifférent à ma requête.,jai constate quil y avait un cafard dans les locaux jai avertie le manager qui avait lair indifferent a ma requete
il y a 7 mois,"Personnel très très agréable, très gentil, respectueux et chaleureux.
Avec un vigile qui fait attention aux clients ! Toute l’équipe souriante et accueillante. Service rapide et bien préparé !",personnel tres tres agreable tres gentil respectueux et chaleureux avec un vigile qui fait attention aux clients toute lequipe souriante et accueillante service rapide et bien prepare
il y a 4 semaines,Maguema est super! Elle est très énergique et trop gentille! C'est comme la famille ici.,maguema est super elle est tres energique et trop gentille cest comme la famille ici
