date,review,cleaned_review
01/2024,Je mets car je peux pas mettre 0Verre mme a moiti remplitBurger manquants  me retrouve avec un truc veggie a 13  aulieu dune bonne viande,je mets car je peux pas mettre verre mme a moiti remplitburger manquants me retrouve avec un truc veggie a aulieu dune bonne viande
06/2024,"Exprience COVID parfaite Vous rentrez, une personne vous dsinfecte les mains et vous donne des gants.",exprience covid parfaite vous rentrez une personne vous dsinfecte les mains et vous donne des gants
06/2024,Super restaurant et trs bon service,super restaurant et trs bon service
01/2024,"Cela fait maintenant 1h50 que jattend ma commande et celleci nest mme pas encore en routeAucune explication, rien, cest honteux ! Le restaurant ntait pas joignable et ce malgr plusieurs tentatives et croyez moi que jai eu le temps den faire quelque uns",cela fait maintenant h que jattend ma commande et celleci nest mme pas encore en routeaucune explication rien cest honteux le restaurant ntait pas joignable et ce malgr plusieurs tentatives et croyez moi que jai eu le temps den faire quelque uns
04/2024,Les toilettes sont franchement mal entretenue et ce nest pas le monde quil y avait quand jy suis all qui les a empch de faire un peu le menage ...,les toilettes sont franchement mal entretenue et ce nest pas le monde quil y avait quand jy suis all qui les a empch de faire un peu le menage
04/2024,Le manager monsieur Malik et sont quipes sont trs chaleureux trs bonnes accueille trs souriant je recommande !,le manager monsieur malik et sont quipes sont trs chaleureux trs bonnes accueille trs souriant je recommande
03/2024,La restauration rapide la plus lente que jai jamais vu!!! Comptez environ 30mn juste pour tre servi..,la restauration rapide la plus lente que jai jamais vu comptez environ mn juste pour tre servi
04/2024,Service rapide malgr une longue commande mais il peut tre assez bond parfois,service rapide malgr une longue commande mais il peut tre assez bond parfois
01/2024,Service au top ! Mention  lquipire Lna qui tait trs efficace tout en tant accueillante avec les clients ! Je recommande,service au top mention lquipire lna qui tait trs efficace tout en tant accueillante avec les clients je recommande
05/2024,"Trs bon, service rapide, tres bonne accueil et trs convivial",trs bon service rapide tres bonne accueil et trs convivial
06/2024,"Excellent burger veggie , avec de la roquette ,trs bonne sauce. Nicha a t trs accueillante et aimable pour notre service.",excellent burger veggie avec de la roquette trs bonne sauce nicha a t trs accueillante et aimable pour notre service
03/2024,Le nouveau burger veggie chicken louisiane est vraiment pas mal et le lieu est bien entretenu par contre jai limpression que la qualit  un petit peu baisse...,le nouveau burger veggie chicken louisiane est vraiment pas mal et le lieu est bien entretenu par contre jai limpression que la qualit un petit peu baisse
04/2024,Trs bon BKAttention aux heures de pointeServi rapidement,trs bon bkattention aux heures de pointeservi rapidement
06/2024,ctait gnial ! trs rapide et trs bon,ctait gnial trs rapide et trs bon
11/2023,Ce BK est le lieu parfait pour se restaurer aprs un tour dans Confluence. La qualit de la nourriture est au rendezvous et la salle est bien entretenue. Le service est galement de qualit jai bien t pris en charge aprs un dfaut a la borne de commande. Un trs bon fast food idalement situ en face du tram T1.  essayer !,ce bk est le lieu parfait pour se restaurer aprs un tour dans confluence la qualit de la nourriture est au rendezvous et la salle est bien entretenue le service est galement de qualit jai bien t pris en charge aprs un dfaut a la borne de commande un trs bon fast food idalement situ en face du tram t essayer
06/2024,Jai bien aim ce Burger King car il y a beaucoup doptions pour le vgtariens .Je recommande vivement.,jai bien aim ce burger king car il y a beaucoup doptions pour le vgtariens je recommande vivement
04/2024,"Trs bonne exprience, le service a t trs rapide et les erreurs sont trs sympa.",trs bonne exprience le service a t trs rapide et les erreurs sont trs sympa
05/2024,Un peut trop dattente ci nous tout et bien,un peut trop dattente ci nous tout et bien
01/2024,Je voudrais bien noter la qualit de la nourriture mais a fait 45min que jattends ma commande. Peuton encore nommer a un fastfood ?,je voudrais bien noter la qualit de la nourriture mais a fait min que jattends ma commande peuton encore nommer a un fastfood
03/2024,Trs bon restaurant bien plac  lentre du centre commercial de confluence et  proximit des transports en commun,trs bon restaurant bien plac lentre du centre commercial de confluence et proximit des transports en commun
02/2024,"A peine la commande passe en bornes, 2 min aprs je la rcuprais. Service rapide malgr le rush!",a peine la commande passe en bornes min aprs je la rcuprais service rapide malgr le rush
03/2024,A fuir !Un manque cruel dhygine.,a fuir un manque cruel dhygine
09/2023,"Bonjour ,Je travail dans le centre je vais  ce Burger King 1 fois sur 3  . Lquipe est",bonjour je travail dans le centre je vais ce burger king fois sur lquipe est
01/2024,"Restaurant bien tenu , quipiers trs ractifs et sympathiques.Mention  pour le manager CharlesJe conseille fortement",restaurant bien tenu quipiers trs ractifs et sympathiquesmention pour le manager charlesje conseille fortement
03/2024,"Olivia, merci pour cet accueil, jai tellement bien mangMeilleur Burger King !",olivia merci pour cet accueil jai tellement bien mangmeilleur burger king
04/2024,"attente de plus d1h pour au final voir sa commande se faire annuler, je ne recommande pas cet tablissement",attente de plus dh pour au final voir sa commande se faire annuler je ne recommande pas cet tablissement
01/2024,laccueil et la rencontre de lena qui est dvou et passionne a t la cerise sur le gteau dun repas que nous avons tous apprci. Jy retournerai peut tre juste pour lena,laccueil et la rencontre de lena qui est dvou et passionne a t la cerise sur le gteau dun repas que nous avons tous apprci jy retournerai peut tre juste pour lena
03/2024,Super serviables merci burger king confluence et surtout Charles cur cur love love plus plus il mrite une promotion,super serviables merci burger king confluence et surtout charles cur cur love love plus plus il mrite une promotion
11/2023,"Jy vais tout le temps  ma pause car je travaille dans le centre, le problme est lattente qui est beaucoup trop longue. 15 minute pour faire ma commande alors que ce ntait mme pas le rush le service avait commenc, il y a mme pas 30",jy vais tout le temps ma pause car je travaille dans le centre le problme est lattente qui est beaucoup trop longue minute pour faire ma commande alors que ce ntait mme pas le rush le service avait commenc il y a mme pas
