date,review
il y a un mois,"Expérience parfaite
Service rapide
Employé très gentille"
il y a un mois,"Service de qualité, rapide et personnels très sympathiques"
il y a un mois,"Service rapide ,nourriture chaude et bonne ambiance agréable"
il y a 2 semaines,Très accueillant le service est très rapide je recommande !!
il y a 4 jours,"Bon burger plus bonnes receptions,tres agreeable"
il y a 3 jours,"Top, bon service et nourriture bien chaude"
il y a un mois,C’était trop trop bon j’me suis rempli le ventre je recommande avc le menu cheddar lover
il y a 4 semaines,"Service très rapide, tout est servis chaud. Mon Burger King préféré de Paris"
il y a 8 mois,"Je venais souvent dans ce burger king et bien aujourd'hui j'ai bien été déçu...
Attendre 30min un fast food (il faut revoir le mot fast) pour au final avoir un burger vide...
Je ne reviendrais plus."
il y a 6 jours,parfait je recommande cet établissement
il y a un mois,"Très très bon , le service est parfait .."
il y a un mois,"Staff très sympa, menu venu rapidement et très bon menu"
il y a 2 mois,Ils m’ont servi tout de suite le service est rapide et la nourriture est bonne
il y a un mois,"Le restaurant est censé fermer à minuit, nous faisons la queue est les bornes se ferment juste devant nous alors que l’heure de fermeture n’est pas encore arrivée."
il y a un an,"J'ai commandé un cheddar lover et je n'ai pas eu toutes les quantités de chaque ingrédient. 1 rondelle d'oignons alors que rondelle est au pluriel dans la description, 2 tranches de bacon vs 3 et 1 tranche de cheddar vs 2. C'est mesquin de faire des petites économies comme celles la pour une marque de burger premium."
il y a 3 mois,"Un petit peu d'attente avoir d'avoir accès aux bornes mais un service très rapide, un personnel efficace et une nourriture de qualité"
il y a 3 mois,"Attente un peu longue pour commander, mais très bon et personnel très accueillant."
il y a 4 semaines,Service parfait et personnel au top 👍 …
il y a 6 mois,"Parfait, la salle est propre et le service rapide. Rien à redire ✨
Le restaurant est grand donc il y a beaucoup de place pour manger avec ses amis 🤓 …"
il y a 2 mois,"Dans un premier temps le burger était délicieux, dans un second temps Mr Darel était agréable. Une super géniale soirée en compagnie de mon burger :)"
il y a un mois,"Tres bon service parfait, Darrell très agréable !"
il y a 4 semaines,"Le Berger king est délicieux
Service rapide
Très bonne cuisine …"
il y a 4 mois,"Très bonne ambiance, personnels très gentils, Sarah nous accueille avec un grand sourire."
il y a une semaine,Merci pour le service rapide j était pressé
il y a un mois,"Le service a été très agréables et rapide
Merci Sarah"
il y a un mois,"Tres bon accueil, je reviendrais c'est sur."
il y a 4 mois,solène est très gentille
il y a 2 semaines,"Endroit très sympa, service accueillant, très bonne expérience, je recommande :)"
il y a 3 mois,"J’aime beaucoup le personnel surtout Sarah, qui était super sympa avec qui on a bien rigolé."
il y a 3 semaines,"Personnel accueillant, service 1min. Merci particulièrement à Darel !"
il y a 3 mois,"Le service était très rapide et excellant, la nourriture  a été servie chaude et le service était très bien"
il y a 6 mois,"Le service est rapide, le personnel agréable et la propreté impeccable. Une grande variété de choix est disponible et les produits sont bons. Je recommande donc grandement ce Burker King !"
il y a 3 semaines,Super Burger King service rapide et efficace ! Personnel agréable et nourriture délicieuse !
il y a un mois,"tres bonne nourriture, beau endroit. darel c’est un bon"
il y a 6 mois,"Un restaurant dans désastreux, beaucoup d'attente, très sale...
Si vous vous demandez pourquoi la note est si bonne, c'est pas parceque vous y êtes allés le mauvais jour. …"
il y a 3 mois,"Le menu étudiant ayant disparu cela ne donne plus envie de venir. Le prix et la quantité du menu était idéal.
C'est vraiment une perte."
il y a 3 mois,Burger King très bien entretenu et le personnel est très gentil. Sarah a été très bienveillante et ma commande est arrivé rapidement.
il y a un mois,"Un burger servi bien chaud, réconfortant. Pas radins sur les boissons c'est très appréciable."
il y a 3 mois,"Très bon produit, propre par rapport à d’autres fast food ! Je reviendrai"
il y a 2 mois,"Personnel sympathique, service rapide et de qualité je recommande"
il y a 2 semaines,très bon bk service rapide
il y a 2 jours,Tres sympa petite vue mimi ☺️
